PONIEDZIAŁEK,WTOREK,ŚRODA,CZWARTEK,PIĄTEK
3.10.,4.10.,5.10.,6.10.,7.10.
,WOLNE,,,
,,,,
,,,,
11:45-13:15 wykład diagnostyka ,,11:45-13:15 wykład biochemiczne podłoże chorób,11:45-13:15 wykład mikrobiologia,
,,,,
,,13:30-15:00 wykład genetyczne podłoże chorób,14:00-17:00 biochemiczne podłoże chorób,
,,,,
,,,,
,,,,
10.10.,11.10.,12.10.,13.10.,14.10.
8:00-11:00,8:00-11:00,8:00-11:00,8:00-11:00,8:00-11:00
genetyczne podłoże chorób,genetyczne podłoże chorób,genetyczne podłoże chorób,genetyczne podłoże chorób,genetyczne podłoże chorób
,,,,
11:45-13:15 wykład diagnostyka ,13:00-14:30 angielski,11:45-13:15 wykład biochemiczne podłoże chorób,11:45-13:15 wykład mikrobiologia,
,,,,13:30-15:45 fizjologia
,,13:30-15:00 wykład genetyczne podłoże chorób,14:00-17:00 biochemiczne podłoże chorób,
,,,,
,,,,
,,,,
17.10.,18.10.,19.10.,20.10.,21.10.
8:00-11:00,8:00-11:00,8:00-11:00,8:00-11:00,8:00-11:00
diagnostyka ,diagnostyka ,diagnostyka ,diagnostyka ,diagnostyka 
,,,,
11:45-13:15 wykład molekularne podłoże chorób,13:00-14:30 angielski,11:45-13:15 wykład biochemiczne podłoże chorób,11:45-13:15 wykład mikrobiologia,
,,,,13:30-15:45 fizjologia
,,13:30-15:00 wykład genetyczne podłoże chorób,14:00-17:00 biochemiczne podłoże chorób,
,,,,
,,,,
,,,,
24.10.,25.10.,26.10.,27.10.,28.10.
8:00-11:00,8:00-11:00,8:00-11:00,8:00-11:00,8:00-11:00
epidemiologia,epidemiologia,epidemiologia,epidemiologia,epidemiologia
,,,,
11:45-13:15 wykład molekularne podłoże chorób,13:00-14:30 angielski,11:45-13:15 wykład biochemiczne podłoże chorób,11:45-13:15 wykład parazytologia,
,,,,13:30-15:45 fizjologia
,,13:30-15:00 wykład genetyczne podłoże chorób,14:00-17:00 biochemiczne podłoże chorób,
,,,,
,,,,
,,,,
31.10.,1.11.,2.11.,3.11.,4.11.
WOLNE,WOLNE,WOLNE,,
,,,,
,,,,
,,,11:45-13:15 wykład parazytologia,
,,,,
,,,14:00-17:00 biochemiczne podłoże chorób,
,,,,
,,,,
7.11.,8.11.,9.11.,10.11.,11.11.
,,,,WOLNE
,,,,
,,,,
11:45-13:15 wykład molekularne podłoże chorób,13:00-14:30 angielski,11:45-13:15 wykład biochemiczne podłoże chorób,11:45-13:15 wykład parazytologia,
,,,,
,,13:30-14:15 wykład genetyczne podłoże chorób,14:00-17:00 biochemiczne podłoże chorób,
,,,,
,,,,
,,,,
14.11.,15.11.,16.11.,17.11.,18.11.
8:00-11:00,8:00-11:00,8:00-11:00,8:00-11:00,8:00-11:00
zaawansowane zabiegi resuscytacyjne,zaawansowane zabiegi resuscytacyjne,zaawansowane zabiegi resuscytacyjne,zaawansowane zabiegi resuscytacyjne,zaawansowane zabiegi resuscytacyjne
,,,,
11:45-13:15 wykład molekularne podłoże chorób,13:00-14:30 angielski,11:45-13:15 wykład biochemiczne podłoże chorób,11:45-13:15 wykład parazytologia,
,,,,13:30-15:45 fizjologia
,,13:30-15:00 wykład historia medycyny,14:00-17:00 biochemiczne podłoże chorób,
,,,,
,,,,
,,,,
21.11.,22.11.,23.11.,24.11.,25.11.
8:00-11:00,8:00-11:00,8:00-11:00,8:00-11:00,8:00-11:00
zaawansowane zabiegi resuscytacyjne,zaawansowane zabiegi resuscytacyjne,zaawansowane zabiegi resuscytacyjne,zaawansowane zabiegi resuscytacyjne,zaawansowane zabiegi resuscytacyjne
,,,,
11:45-13:15 wykład wpr. do badań,13:00-14:30 angielski,11:45-13:15 wykład biochemiczne podłoże chorób,11:45-13:15 wykład immunologia,
,,,,13:30-15:45 fizjologia
,,13:30-15:00 wykład historia medycyny,14:00-17:00 biochemiczne podłoże chorób,
,,,,
,,,,
,,,,
,,,,
,,,,
28.11.,29.11.,30.11.,1.12.,2.12.
8:00-11:00 ,8:00-11:00 ,8:00-11:00 ,8:00-11:00 ,8:00-11:00 
parazytologia,parazytologia,parazytologia,parazytologia,parazytologia
,,,,
11:45-13:15 wykład wpr. do badań,13:00-14:30 angielski,11:45-13:15 wykład biochemiczne podłoże chorób,11:45-13:15 wykład immunologia,
,,,,13:30-15:45 fizjologia
,,13:30-15:00 wykład historia medycyny,14:00-17:00 biochemiczne podłoże chorób,
,,,,
,,,,
,,,,
,,,,
5.12.,6.12.,7.12.,8.12.,9.12.
8:00-11:00 ,8:00-11:00 ,8:00-11:00 ,8:00-11:00 ,8:00-11:00 
immunologia,immunologia,immunologia,immunologia,immunologia
,,,,
11:45-13:15 wykład wpr. do badań,13:00-14:30 angielski,11:45-12:30 wykład biochemiczne podłoże chorób,11:45-13:15 wykład immunologia,
,,,,13:30-15:45 fizjologia
,,13:30-15:00 wykład historia medycyny,14:00-17:00 biochemiczne podłoże chorób,
,,,,
,,,,
,,,,
,,,,
12.12.,13.12.,14.12.,15.12.,16.12.
8:00-11:00 ,8:00-11:00 ,8:00-11:00 ,8:00-11:00 ,8:00-11:00 
mikrobiologia,mikrobiologia,mikrobiologia,mikrobiologia,mikrobiologia
,,,,
11:45-13:15 wykład patomorfologia,13:00-14:30 angielski,13:30-15:00 wykład historia medycyny,11:45-13:15 wykład immunologia,
,,,,13:30-15:45 fizjologia
,,,14:00-17:00 biochemiczne podłoże chorób,
,,,,
,,,,
,,,,
19.12.,20.12.,21.12.,22.12.,23.12.
8:00-11:00 ,8:00-11:00 ,8:00-11:00 ,8:00-11:00 ,WOLNE
mikrobiologia,mikrobiologia,mikrobiologia,mikrobiologia,
,,,,
